Date,rate_ISRG_5D,rate_ISRG_20D,rate_VOO_5D,rate_VOO_20D
2023-03-22,-15.88,-18.5965,-9.190000000000001,-9.2245
2023-03-23,-15.608,-18.411,-9.248000000000001,-9.275
2023-03-24,-14.330000000000002,-17.954500000000003,-9.069999999999999,-9.2765
2023-03-27,-13.502,-17.576,-9.02,-9.283
2023-03-28,-13.308000000000002,-17.2095,-9.232000000000001,-9.282
2023-03-29,-12.626000000000001,-16.810000000000002,-8.894,-9.2135
2023-03-30,-12.156,-16.427,-8.49,-9.147
2023-03-31,-12.22,-16.0725,-7.8740000000000006,-9.079
2023-04-03,-12.102,-15.738,-7.19,-8.991000000000001
2023-04-04,-11.693999999999999,-15.312999999999999,-6.578,-8.8625
2023-04-05,-11.148,-14.8385,-6.264,-8.7515
2023-04-06,-10.714,-14.34,-5.988,-8.545
2023-04-10,-10.428,-13.742,-5.9479999999999995,-8.274
2023-04-11,-9.796000000000001,-13.129499999999998,-6.004,-7.9955
2023-04-12,-9.312000000000001,-12.6625,-6.029999999999999,-7.806
2023-04-13,-8.724,-12.0945,-5.772,-7.529999999999999
2023-04-14,-8.03,-11.626999999999999,-5.622,-7.337000000000001
2023-04-17,-7.343999999999999,-11.0805,-5.428,-7.08
2023-04-18,-6.895999999999999,-10.574000000000002,-5.224,-6.8595
2023-04-19,-4.364,-9.669500000000001,-4.948,-6.697
2023-04-20,-2.2399999999999998,-8.6845,-5.018000000000001,-6.487
2023-04-21,0.04600000000000008,-7.713500000000001,-5.037999999999999,-6.2845
2023-04-24,2.218,-6.9435,-5.098000000000001,-6.087
2023-04-25,4.040000000000001,-6.1884999999999994,-5.42,-5.9595
2023-04-26,3.846,-5.381,-5.8100000000000005,-5.841500000000001
2023-04-27,3.7879999999999994,-4.5809999999999995,-5.786,-5.71
2023-04-28,3.848,-3.7125,-5.638,-5.5715
2023-05-01,3.9760000000000004,-2.8945,-5.504,-5.4944999999999995
2023-05-02,4.328,-2.0810000000000004,-5.316,-5.4910000000000005
2023-05-03,4.892,-1.2345,-5.176,-5.4910000000000005
2023-05-04,5.298,-0.4694999999999999,-5.47,-5.5115
2023-05-05,5.484,0.3370000000000001,-5.588,-5.471500000000001
2023-05-08,5.488,1.0845,-5.708,-5.4345
2023-05-09,5.496,1.7420000000000002,-5.71,-5.4174999999999995
2023-05-10,5.356,2.4325,-5.514,-5.362
2023-05-11,5.372,3.0545,-5.218000000000001,-5.372999999999999
2023-05-12,5.4079999999999995,3.6965000000000003,-5.258,-5.3805000000000005
2023-05-15,5.714,4.349,-5.244,-5.3885
2023-05-16,6.022,4.971500000000001,-5.274,-5.430000000000001
2023-05-17,6.372,5.1165,-5.166,-5.416500000000001
2023-05-18,6.93,5.3469999999999995,-4.85,-5.331
2023-05-19,7.465999999999999,5.5515,-4.54,-5.255999999999999
2023-05-22,7.830000000000001,5.752000000000001,-4.28,-5.184
2023-05-23,7.472000000000001,5.8295,-4.109999999999999,-5.1025
2023-05-24,7.078,5.9245,-4.3,-5.039
2023-05-25,6.508,6.027,-4.51,-5.012
2023-05-26,6.058,6.104,-4.446,-4.958
2023-05-30,5.62,6.162999999999999,-4.388,-4.905
2023-05-31,6.05,6.26,-4.220000000000001,-4.8285
2023-06-01,6.558,6.340999999999999,-3.716,-4.674
2023-06-02,7.074000000000001,6.470999999999999,-3.096,-4.4185
